,0
0,Riom-Parsonz
1,Oberhofen (AG)
2,Tinizong-Rona
3,Obererlinsbach
4,St. Antönien Ascharina
5,Nesslau-Krummenau
6,Klosters-Serneus
7,Suraua
8,Schwanden (GL)
9,Villaz-Saint-Pierre
10,Niedererlinsbach
11,Rohr (AG)
12,Unterbözberg
13,Casti-Wergenstein
14,Reckingen-Gluringen
15,Tüscherz-Alfermée
16,Gettnau
17,Thielle-Wavre
18,Willisau Stadt
19,Bibern (SO)
20,Wiesen (GR)
21,Willisau Land
22,Isorno
23,Rüti (GL)
24,Rapperswil (SG)
25,Münster-Geschinen
26,Heinrichswil-Winistorf
27,Niederried bei Kallnach
